Şirket İsmi,Arz Tarihi,Arz Şekli,Fonun Kullanım Yeri,Fiyat İstikrarı,Satmama Taahhüdü,Halka Açıklık Oranı,Şehir,Kuruluş Yılı,Gelir Tablosu Verileri
Oba Makarnacılık San. ve Tic. A.Ş.,22-23 Şubat 2024,"
                    - Sermaye Artırımı : 72.252.259 Lot
                    - Ortak Satışı : 12.042.043 Lot (Alpinvest Yatırım Gıda San. ve Tic. A.Ş.)
                    - Ortak Satışı : 12.042.043 Lot (Turkey Pasta Holding Limited)
* SPK Bülteni, 2024/11.
","
                    - %40-50 Ürün çeşitlendirme, enerji ve kapasite artışı yatırımları. 
                    - %30-40 İşletne sermayesi. 
                    - %10-20 Finansal borçların azaltılması. 
* İzahname, Sayfa 258.
","
                    - 30 gün. * Brüt halka arz gelirinin %20'si. 
                    (Ünlü Menkul Değerler A.Ş.)
* İzahname, Sayfa 256.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 257.
","
                    - %20,09. 
* İzahname, Sayfa 213.
",Şehir : Gaziantep,Kuruluş Tarihi : 13.01.1966,"; - Hasılat, 11,9 Milyar TL, 11,0 Milyar TL, 5,2 Milyar TL; - Brüt Kar, 1,6 Milyar TL, 1,3 Milyar TL, 1,1 Milyar TL"
Altınay Savunma Teknolojileri A.Ş.,8-9-10 Mayıs 2024,"
                    - Sermaye Artırımı : 35.294.118 Lot
                    - Ortak Satışı : 11.764.706 Lot (Hakan Altınay)
                    - Ortak Satışı : 11.764.706 Lot (Letven Capital Girişim Sermayesi Portföy Yönetimi A.Ş. Milres Girişim Sermayesi Yatırım Fonu)
* SPK Bülteni, 2024/22.
","
                    - %50 Yeni tesis ve üretim teknolojileri yatırımları. 
                    - %15 Test ve doğrulama teknolojileri ile ar-ge ve ür-ge yatırımları. 
                    - %5 Global satış ve pazarlama ağı yatırımları. 
                    - %15 İşletme sermayesi. 
                    - %5 Finansal borç ödemeleri. 
                    - %10 Şirket satın alımı ve/veya iş ortaklıkları kurulması. 
* İzahname, Sayfa 346.
","
                    - 15 gün. * halka arz gelirinin %25'i. 
                    (Ziraat Yatırım Menkul Değerler A.Ş.) 
* İzahname, Sayfa 342.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 344.
","
                    - %25. 
* İzahname, Sayfa 299.
",Şehir : İstanbul,Kuruluş Tarihi : 27.05.2014,"; - Hasılat, 1,1 Milyar TL, 588,7 Milyon TL, 262,6 Milyon TL; - Brüt Kâr, 465,6 Milyon TL, 300,8 Milyon TL, 166,6 Milyon TL"
Koç Metalurji A.Ş.,9-10 Mayıs 2024,"
                    - Sermaye Artırımı : 105.000.000 Lot
                    - Ortak Satışı : 20.000.000 Lot (Adil Koç)
* SPK Bülteni, 2024/22.
","
                    - %35 Hammadde yatırımı. 
                    - %10 Mevcut üretim tesisinin modernizasyonu. 
                    - %35 Yenilenebilir enerji yatırımlarının finansmanı. 
                    - %20 Hammadde tedariki ve işletme sermayesi. 
* İzahname, Sayfa 201.
","
                    - Planlanmamaktadır. 
* İzahname, Sayfa 196.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 198.
","
                    - %27,47. 
* İzahname, Sayfa 157.
",Şehir : Hatay,Kuruluş Tarihi : 18.11.1993,"; - Hasılat, 10,9 Milyar TL, 10,9 Milyar TL, 17,9 Milyar TL; - Brüt Kâr, 794,8 Milyon TL, 454,5 Milyon TL, 1,4 Milyar TL"
Yiğit Akü Malzemeleri Nakliyat Turizm İnşaat San. ve Tic. A.Ş.,29-30-31 Mayıs 2024,"
                    - Sermaye Artırımı : 50.500.000 Lot
                    - Ortak Satışı : 10.500.000 Lot (Hamit Yiğit)
                    - Ortak Satışı : 7.000.000 Lot (Mahmut Yiğit)
                    - Ortak Satışı : 7.000.000 Lot (Eyüp Yiğit)
* SPK Bülteni, 2024/26.
","
                    - %20 Üretim tesisi ve yeni ürün yatırımları. 
                    - %40 Lityum batarya fabrikası yatırımları. 
                    - %30 İşletme sermayesi. 
                    - %10 Finansal borçların ödenmesi. 
* İzahname, Sayfa 225.
","
                    - 30 gün. * Brüt halka arz gelirinin %20'si. 
                    (Halk Yatırım Menkul Değerler A.Ş.) 
* İzahname, Sayfa 222.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 224.
","
                    - %24,96. 
* İzahname, Sayfa 182.
",Şehir : Ankara,Kuruluş Tarihi : 16.11.1981,"; - Hasılat, 6,2 Milyar TL, 8,0 Milyar TL, 6,3 Milyar TL; - Brüt Kâr, 1,1 Milyar TL, 857,1 Milyon TL, 686,1 Milyon TL"
Koton Mağazacılık Tekstil San. ve Tic. A.Ş.,30 Nisan - 2-3 Mayıs 2024,"
                    - Sermaye Artırımı : 34.150.000 Lot
                    - Ortak Satışı : 94.350.000 Lot (Nemo Apparel B.V.)
                    - Ortak Satışı : 4.050.000 Lot (Yılmaz Yılmaz)
                    - Ortak Satışı : 4.050.000 Lot (Şükriye Gülden Yılmaz)
* SPK Bülteni, 2024/21.
","
                    - %30-40 Yurt içi ve yurt dışı mağaza açılışları ve yenilemeleri, depo otomasyon yatırımları ile bilgi teknolojileri yatırımları. 
                    - %60-70 İşletme sermayesi. 
* İzahname, Sayfa 378.
","
                    - 15 gün. * Brüt halka arz gelirinin %20'si. 
                    (İş Yatırım Menkul Değerler A.Ş.) 
* İzahname, Sayfa 372.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 375.
","
                    - %16,5. 
* İzahname, Sayfa 320.
",Şehir : İstanbul,Kuruluş Tarihi : 26.12.1994,"; - Hasılat, 17,1 Milyar TL, 16,0 Milyar TL, 14,3 Milyar TL; - Brüt Kâr, 8,9 Milyar TL, 8,4 Milyar TL, 6,2 Milyar TL"
Artemis Halı A.Ş.,27-28 Şubat 2024,"
                    - Sermaye Artırımı : 20.000.000 Lot
* SPK Bülteni, 2024/12.
","
                    - %40-50 Makine & teçhizat yatırımları, çatı güneş enerjisi santrali (GES) yatırımları. 
                    - %25-30 Finansal borçların geri ödemesi. 
                    - %25-30 İşletme sermayesi. 
* İzahname, Sayfa 198.
","
                    - Planlanmamaktadır. 
* İzahname, Sayfa 195.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 196.
","
                    - %28,57. 
* İzahname, Sayfa 184.
",Şehir : İstanbul,Kuruluş Tarihi : 16.07.2012,"; - Hasılat, 517,4 Milyon TL, 313,0 Milyon TL, 217,2 Milyon TL; - Brüt Kar, 177,3 Milyon TL, 127,9 Milyon TL, 58,3 Milyon TL"
Limak Doğu Anadolu Çimento San. ve Tic. A.Ş.,14-15-16 Şubat 2024,"
                    - Sermaye Artırımı : 130.000.000 Lot
                    - Ortak Satışı : 25.930.000 Lot (Limak Çimento San. ve Tic. A.Ş.)
* SPK Bülteni, 2024/9.
","
                    - %100 Ergani Fabrikası'nın devralınması. 
* İzahname, Sayfa 215.
","
                    - 30 gün. * Brüt halka arz gelirinin %20'si. 
* İzahname, Sayfa 211.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* Taslak İzahname, Sayfa 212.
","
                    - %30,21. 
* İzahname, Sayfa 172.
",Şehir : Siirt,Kuruluş Tarihi : 23.11.1998,"; - Hasılat, 1,4 Milyar TL, 1,1 Milyar TL, 535,7 Milyon TL; - Brüt Kâr, 680,7 Milyon TL, 355,8 Milyon TL, 41,2 Milyon TL"
Pasifik Donanım ve Yazılım Bilgi Teknolojileri A.Ş.,6-7 Şubat 2024,"
                    - Sermaye Artırımı : 14.000.000 Lot
                    - Ortak Satışı : 4.333.334 Lot (Fatih Erdoğan)
                    - Ortak Satışı : 4.333.333 Lot (Abdulkerim Fırat)
                    - Ortak Satışı : 4.333.333 Lot (Mehmet Erdoğan)
* SPK Bülteni, 2024/7.
","
                    - %45 Yatırım harcamaları. 
                    - %35 Ar-Ge yeni ürün yatırımları. 
                    - %20 İşletme sermayesi. 
* İzahname, Sayfa 213.
","
                    - 30 Gün  * Brüt halka arz gelirinin %10'u. 
* İzahname, Sayfa 209.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 211.
","
                    - %20,15. 
* İzahname, Sayfa 172.
",Şehir : İstanbul,Kuruluş Tarihi : 05.06.2015,"; - Hasılat, 481,0 Milyon TL, 403,5 Milyon TL, 258,2 Milyon TL; - Brüt Kar, 117,3 Milyon TL, 65,4 Milyon TL, 62,7 Milyon TL"
Lila Kağıt San. ve Tic. A.Ş.,30 Nisan - 2-3 Mayıs 2024,"
                    - Sermaye Artırımı : 90.000.000 Lot
                    - Ortak Satışı : 5.172.000 Lot (Orhan Öğücü)
                    - Ortak Satışı : 3.234.000 Lot (Celal Öğücü)
                    - Ortak Satışı : 3.999.000 Lot (Aydın Öğücü)
                    - Ortak Satışı : 3.096.000 Lot (Hatice Öğücü)
                    - Ortak Satışı : 2.670.000 Lot (Burcu Öğücü Giritli)
                    - Ortak Satışı : 2.178.000 Lot (Alp Öğücü)
                    - Ortak Satışı : 2.070.000 Lot (Duygu Öğücü)
                    - Ortak Satışı : 1.956.000 Lot (Huriye Öğücü)
                    - Ortak Satışı : 1.674.000 Lot (Nuray Darıcı)
                    - Ortak Satışı : 1.527.000 Lot (Murat Öğücü)
                    - Ortak Satışı : 1.518.000 Lot (İrem Öğücü Öngen)
                    - Ortak Satışı : 453.000 Lot (Nazlı Gözübüyük)
                    - Ortak Satışı : 453.000 Lot (Onur Öğücü)
* SPK Bülteni, 2024/21.
","
                    - %30 Erzurum fabrika yatırımı. 
                    - %15 Ergene fabrika yatırımları. 
                    - %15 Yenilenebilir enerji yatırımı. 
                    - %30 İşletme sermayesi. 
                    - %10 Finansal borçluluk seviyesinin azaltılması. 
* İzahname, Sayfa 333.
","
                    - 15 gün. * Brüt halka arz gelirinin %15'i. 
                    (Ak Yatırım Menkul Değerler A.Ş.)
* İzahname, Sayfa 328.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 331.
","
                    - %20,34. 
* İzahname, Sayfa 274.
",Şehir : İstanbul,Kuruluş Tarihi : 17.01.1984,"; - Hasılat, 9,3 Milyar TL, 12,6 Milyar TL, 6,5 Milyar TL; - Brüt Kar, 2,8 Milyar TL, 4,3 Milyar TL, 2,2 Milyar TL"
Özyaşar Tel ve Galvanizleme San. A.Ş.,23-24 Mayıs 2024,"
                    - Sermaye Artırımı : 18.200.000 Lot
                    - Ortak Satışı : 6.240.000 Lot (Çokyaşar Holding A.Ş.)
                    - Ortak Satışı : 780.000 Lot (Derviş Ali Çokyaşar)
                    - Ortak Satışı : 780.000 Lot (Ömer Çokyaşar)
                    - Ek Ortak Satışı : 4.160.000 Lot (Çokyaşar Holding A.Ş.)
                    - Ek Ortak Satışı : 520.000 Lot (Derviş Ali Çokyaşar)
                    - Ek Ortak Satışı : 520.000 Lot (Ömer Çokyaşar)
* SPK Bülteni, 2024/25.
","
                    - %30 İşletme sermayesi. 
                    - %40 Finansman maliyetinin azaltılması. 
                    - %30 Yatırım finansmanı ve makine/teçhizat alımları. 
* İzahname, Sayfa 237.
","
","
                    - 30 gün. 
* İzahname, Sayfa 232.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 235.
",Şehir : İstanbul,Kuruluş Tarihi : 14.03.1973,"; - Hasılat, 4,8 Milyar TL, 6,3 Milyar TL, 5,4 Milyar TL; - Brüt Kar, 707,4 Milyon TL, 958,2 Milyon TL, 903,8 Milyon TL"
Rönesans Gayrimenkul Yatırım A.Ş.,17-18-19 Nisan 2024,"
                    - Sermaye Artırımı : 27.283.112 Lot
                    - Ortak Satışı : 6.074.338 Lot (Euro Cube Private Limited)
* SPK Bülten, 2024/18.
","
                    - %60-65 Finansal borç geri ödemesi. 
                    - %5-10 İlişkili taraflara ticari olmayan borç geri ödemesi. 
                    - %15-20 Maltepe Park konut yatırımı. 
                    - %15-15 İşletme sermayesi. 
* İzahname, Sayfa 353.
","
                    - 30 gün. * Brüt halka arz gelirinin %25'i. 
                    (Deniz Yatırım Menkul Kıymetler A.Ş.) 
* İzahname, Sayfa 348.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 350.
","
                    - %10,08. 
* İzahname, Sayfa 308.
",Şehir : Ankara,Kuruluş Tarihi : 02.06.2006,"; - Hasılat, 5,0 Milyar TL, 4,2 Milyar TL, 3,3 Milyar TL; - Brüt Kar, 3,1 Milyar TL, 2,6 Milyar TL, 2,2 Milyar TL"
Hareket Proje Taşımacılığı ve Yük Mühendisliği A.Ş.,15-16-17 Mayıs 2024,"
                    - Sermaye Artırımı : 19.200.000 Lot
                    - Ortak Satışı : 3.168.000 Lot (Ahmet Altunkum)
                    - Ortak Satışı : 672.000 Lot (Abdullah Altunkum)
                    - Ortak Satışı : 480.000 Lot (Samet Gürsu)
                    - Ortak Satışı : 240.000 Lot (Cemalettin Gürsu)
                    - Ortak Satışı : 144.000 Lot (Seddar Sacid Gürsu)
                    - Ortak Satışı : 96.000 Lot (Sena Gürsu)
* SPK Bülteni, 2024/24.
","
                    - %50-60 Makine, ekipman, tesis ve proje yatırımları. 
                    - %20-25 Finansal borçların ödenmesi. 
                    - %20-25 İşletme sermayesi. 
* İzahname, Sayfa 225.
","
                    - 30 gün. * Halka arz gelirinin %50'i. 
                    (Yatırım Finansman Menkul Değerler A.Ş.) 
* İzahname, Sayfa 219.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 222.
","
                    - %20,83. 
* İzahname, Sayfa 180.
",Şehir : İstanbul,Kuruluş Tarihi : 11.04.1985,"; - Hasılat, 1,5 Milyar TL, 1,6 Milyar TL, 1,7 Milyar TL; - Brüt Kâr, 576,5 Milyon TL, 521,4 Milyon TL, 629,2 Milyon TL"
Altınkılıç Gıda ve Süt San. Tic. A.Ş.,29-30 Mayıs 2024,"
                    - Sermaye Artırımı : 33.885.000 Lot
* SPK Bülteni, 2024/26.
","
                    - %65-70 İşletme sermayesi. 
                    - %10-12 Burhaniye OSB tesis yatırımı.  
                    - %3-4 Makine alım, iyileştirme ve modernizasyon.  
                    - %4-5 Mevcut yeni ürünlere ilişkin reklam ve pazarlama faaliyetleri.  
                    - %12-15 Finansal borçların kapatılması.  
* İzahname, Sayfa 237.
","
","
                    - 30 gün. * Halka arz gelirinin %20'si. 
* İzahname, Sayfa 233.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 234.
",Şehir : İstanbul,Kuruluş Tarihi : 21.11.1996,"; - Hasılat, 1,8 Milyar TL, 1,5 Milyar TL, 1,2 Milyar TL; - Brüt Kar, 510,4 Milyon TL, 422,6 Milyon TL, 380,8 Milyon TL"
Alves Kablo San. ve Tic. A.Ş.,22-23 Şubat 2024,"
                    - Sermaye Artırımı : 40.000.000 Lot
* SPK Bülteni, 2024/11.
","
                    - %35-40 İhracata yönelik üretim kapasite artırımı için makine ve teknolojik yatırımlar. 
                    - %30-35 Finansal borçların geri ödemesi. 
                    - %30-35 İşletme sermayesi. 
* İzahname, Sayfa 261.
","
                    - Planlanmamaktadır. 
* İzahname, Sayfa 257.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 258.
","
                    - %25. 
* İzahname, Sayfa 218.
",Şehir : Ankara,Kuruluş Tarihi : 01.11.2016,"; - Hasılat, 1,6 Milyar TL, 808,5 Milyon TL, 423,3 Milyon TL; - Brüt Kar, 238,2 Milyon TL, 98,5 Milyon TL, 42,7 Milyon TL"
Odine Solutions Teknoloji Tic. ve San. A.Ş.,13-14-15 Mart 2024,"
                    - Sermaye Artırımı : 22.100.000 Lot
                    - Ortak Satışı : 3.715.871 Lot (Odine International Holding UK LLP)
                    - Ortak Satışı : 4.596.031 Lot (Hidayet Didem Zapsu Bilyay)
                    - Ortak Satışı : 6.894.049 Lot (Deniz Han Bilyay)
                    - Ortak Satışı : 6.894.049 Lot (Doğu Kaan Bilyay)
* SPK Bülteni, 2024/14.
","
                    - %52,5-62,5 Yurt dışı yatırımları. 
                    - %30-40 İşletme sermayesi.  
                    - %5-10 Yeni ürün ve çözümlerin finansmanı.  
* İzahname, Sayfa 223.
","
                    - 15 gün. * Brüt halka arz gelirinin %20'si.
* İzahname, Sayfa 219.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 221.
","
                    - %40. 
* İzahname, Sayfa 176.
",Şehir : İstanbul,Kuruluş Tarihi : 30.12.1999,"; - Hasılat, 771,2 Milyon TL, 328,0 Milyon TL, 195,1 Milyon TL; - Brüt Kar, 384,5 Milyon TL, 166,7 Milyon TL, 81,0 Milyon TL"
Bor Şeker A.Ş.,7-8-9 Şubat 2024,"
                    - Sermaye Artırımı : 40.000.000 Lot
                    - Ortak Satışı : 15.000.000 Lot (Emir Haktan Dişli)
                    - Ortak Satışı : 15.000.000 Lot (Arz Gayrimenkul ve Girişim Sermayesi Portföy Yönetimi A.Ş. İkinci Girişim Sermayesi Yatırım Fonu)
* SPK Bülteni, 2024/7.
","
                    - %45 İşletme sermayesi. 
                    - %50 GES (Güneş Enerjisi Santrali) yatırımı, entegrasyon ve modernizasyon yatırımları, gübre tesisi yatırımları. 
                    - %5 Ar-Ge Faaliyetleri. 
* İzahname, Sayfa 215.
","
                    - 30 gün. * Brüt halka arz gelirinin %10'u. 
* İzahname, Sayfa 212.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 213.
","
                    - %29,17. 
* İzahname, Sayfa 174.
",Şehir : İstanbul,Kuruluş Tarihi : 25.10.2016,"; - Hasılat, 1,2 Milyar TL, 559,9 Milyon TL, 516,6 Milyon TL; - Brüt Kâr, 465,0 Milyon TL, 208,0 Milyon TL, 83,5 Milyon TL"
Onur Yüksek Teknoloji A.Ş.,22-23 Mayıs 2024,"
                    - Sermaye Artırımı : 12.830.000 Lot
                    - Ortak Satışı : 3.200.000 Lot (Cengiz Dede)
                    - Ortak Satışı : 1.600.000 Lot (Noyan Burçin Dede)
                    - Ortak Satışı : 1.600.000 Lot (Tolga Dede)
                    - Ortak Satışı : 500.000 Lot (Nurgül Dede)
* SPK Bülteni, 2024/25.
","
                    - %12,5 İşletme sermayesi. 
                    - %57,20 Yenilenebilir enerji yatırımları. 
                    - %20 Finansal borç ödemeleri. 
                    - %5 Ar-ge faaliyetleri. 
                    - %5 Ofis ve teknik alanlar kapasitesi artırımı. 
* İzahname, Sayfa 285.
","
","
                    - Planlanmamaktadır. 
* İzahname, Sayfa 281.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 283.
",Şehir : Ankara,Kuruluş Tarihi : 13.03.1991,"; - Hasılat, 589,3 Milyon TL, 605,2 Milyon TL, 495,7 Milyon TL; - Brüt Kâr, 249,0 Milyon TL, 252,6 Milyon TL, 273,7 Milyon TL"
Mogan Enerji Yatırım Holding A.Ş.,28-29 Şubat - 1 Mart 2024,"
                    - Sermaye Artırımı : 210.108.000 Lot
                    - Ortak Satışı : 26.263.500 Lot (Müşfik Hamdi Yamantürk)
                    - Ortak Satışı : 26.263.500 Lot (Tevfik Yamantürk)
* SPK Bülteni, 2024/12.
","
                    - %45 Enerji sektöründe büyüme. 
                    - %45 Finansal borçların azaltılması. 
                    - %10 İşletme sermayesi. 
* İzahname, Sayfa 327.
","
                    - 15 gün. * Brüt halka arz gelirinin %20'si. 
* İzahname, Sayfa 322.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 324.
","
                    - %8,61. 
* İzahname, Sayfa 284.
",Şehir : Ankara,Kuruluş Tarihi : 02.01.1980,"; - Hasılat, 7,9 Milyar TL, 10,8 Milyar TL, 3,2 Milyar TL; - Brüt Kar, 2,3 Milyar TL, 2,9 Milyar TL, 1,1 Milyar TL"
Ic Enterra Yenilenebilir Enerji A.Ş.,27-28-29 Mart 2024,"
                    - Sermaye Artırımı : 226.986.323 Lot
                    - Ortak Satışı : 142.579.394 Lot (Ic İçtaş İnşaat San. ve Tic. A.Ş.)
* SPK Bülten, 2024/16.
","
                    - %8-15 Bağıştaş GES(Güneş Enerjisi Santrali) projesi. 
                    - %25-55 Erzin-2 GES(Güneş Enerjisi Santrali) projesi. 
                    - %10-20 Depolamalı RES(Rüzgar Enerjisi Santrali) ve GES(Güneş Enerjisi Santrali) projeleri. 
                    - %25-40 Yeni yenilenebilir enerji santrali yatırımları. 
* İzahname, Sayfa 362.
","
                    - 15 gün. 
                    (Ak Yatırım Menkul Değerler A.Ş.)
* İzahname, Sayfa 357.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 359.
","
                    - %20,03. 
* İzahname, Sayfa 309.
",Şehir : Ankara,Kuruluş Tarihi : 11.03.2019,"; - Hasılat, 2,8 Milyar TL, 3,1 Milyar TL, 1,6 Milyar TL; - Brüt Kâr, 1,2 Milyar TL, 2,1 Milyar TL, 796,5 Milyon TL"
Horoz Lojistik Kargo Hizmetleri ve Tic. A.Ş.,29-30-31 Mayıs 2024,"
                    - Sermaye Artırımı : 18.000.000 Lot
                    - Ortak Satışı : 2.500.000 Lot (Taner Horoz)
                    - Ek Ortak Satışı : 4.100.000 Lot (Taner Horoz)
* SPK Bülteni, 2024/26.
","
                    - %10-15 Elektrikli araç satın alımı. 
                    - %10-15 Güneş enerjisi santrali (GES) kurulması. 
                    - %20-25 E-Ticarete yönelik faaliyetlerin geliştirilmesi. 
                    - %5-10 Depoculuk ve lojistik hizmetlerinin geliştirilmesi. 
                    - %40-45 İşletme sermayesi. 
* İzahname, Sayfa 276.
","
                    - 30 gün. * Brüt halka arz gelirinin %20'si. 
* İzahname, Sayfa 272.
","
                    - 1 Yıl, İhraççı. 
                    - 1 Yıl, Ortaklar. 
* İzahname, Sayfa 273.
","
                    - %27,18. Ek satış dahil.
* İzahname, Sayfa 224.
",Şehir : İstanbul,Kuruluş Tarihi : 16.06.1998,"; - Hasılat, 5,4 Milyar TL, 4,0 Milyar TL, 3,4 Milyar TL; - Brüt Kar, 484,1 Milyon TL, 284,6 Milyon TL, 150,8 Milyon TL"
